,Artist,Rank,Song Title,Year
123,Bee Gees,82,Lonely Days,1971
124,Denise LaSalle,85,Trapped By A Thing Called Love,1971
125,Jackson 5,86,Mama's Pearl,1971
126,The Partridge Family,88,I Woke Up In Love This Morning,1971
127,Gladys Knight And The Pips,90,If I Were Your Woman,1971
128,Paul Stookey,92,Wedding Song (There Is Love),1971
129,Richie Havens,95,Here Comes The Sun,1971
130,Wadsworth Mansion,96,Sweet Mary,1971
131,Brenda & The Tabulations,97,Right On The Tip Of My Tongue,1971
132,The Doors,99,Riders On The Storm,1971
133,Perry Como,100,It's Impossible,1971
134,Gilbert O'Sullivan,2,Alone Again (Naturally),1972
135,Don McLean,3,American Pie (Parts I & II),1972
136,Nilsson,4,Without You,1972
137,Joe Tex,6,I Gotcha,1972
138,Bill Withers,7,Lean On Me,1972
139,Mac Davis,8,Baby Don't Get Hooked On Me,1972
140,Melanie,9,Brand New Key,1972
141,Wayne Newton,10,Daddy Don't You Walk So Fast,1972
142,Al Green,11,Let's Stay Together,1972
143,Looking Glass,12,Brandy (You're A Fine Girl),1972
144,Chi-Lites,13,Oh Girl,1972
145,Gallery,14,Nice To Be With You,1972
146,Chuck Berry,15,My Ding-A-Ling,1972
147,Neil Young,17,Heart Of Gold,1972
148,The Stylistics,18,"Betcha By Golly, Wow",1972
149,The Staple Singers,19,I'll Take You There,1972
150,Michael Jackson,20,Ben,1972
151,War,23,Slippin' Into Darkness,1972
152,America,26,A Horse With No Name,1972
153,Neil Diamond,27,Song Sung Blue,1972
154,Hot Butter,28,Popcorn,1972
155,The Main Ingredient,29,Everybody Plays The Fool,1972
156,Climax,30,Precious And Few,1972
157,The Moody Blues,32,Nights In White Satin,1972
158,Raspberries,33,Go All The Way,1972
159,Cornelius Brothers & Sister Rose,34,Too Late To Turn Back Now,1972
160,The O'Jays,35,Back Stabbers,1972
161,Jonathan Edwards,38,Sunshine,1972
162,Badfinger,39,Day After Day,1972
163,Elton John,40,Rocket Man,1972
164,Michael Jackson,41,Rockin' Robin,1972
165,Daniel Boone,42,Beautiful Sunday,1972
166,Dennis Coffey & The Detroit Guitar Band,43,Scorpio,1972
167,Cat Stevens,44,Morning Has Broken,1972
168,Rick Nelson,46,Garden Party,1972
169,Johnny Nash,47,I Can See Clearly Now,1972
170,Elvis Presley,48,Burning Love,1972
171,Betty Wright,49,Clean Up Woman,1972
172,Argent,50,Hold Your Head Up,1972
173,Bread,52,Everything I Own,1972
174,The Dramatics,53,In The Rain,1972
175,Al Green,54,Look What You Done For Me,1972
