,Artist,Rank,Song Title,Year
0,Daniel Powter,1,Bad Day,2000
1,Sean Paul,2,Temperature,2000
2,Nelly Furtado Featuring Timbaland,3,Promiscuous,2000
3,James Blunt,4,You're Beautiful,2000
4,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,2000
5,Natasha Bedingfield,6,Unwritten,2000
6,Gnarls Barkley,7,Crazy,2000
7,Chamillionaire Featuring Krayzie Bone,8,Ridin',2000
8,Justin Timberlake,9,SexyBack,2000
9,Beyonce Featuring Slim Thug,10,Check On It,2000
10,Mary J. Blige,11,Be Without You,2000
11,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,2000
12,The Fray,13,Over My Head (Cable Car),2000
13,Cassie,14,Me & U,2000
14,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,2000
15,Chris Brown,16,Run It!,2000
16,Ne-Yo,17,So Sick,2000
17,Yung Joc,18,It's Goin' Down,2000
18,Rihanna,19,SOS,2000
19,Panic! At The Disco,20,I Write Sins Not Tragedies,2000
20,The All-American Rejects,21,Move Along,2000
21,Fergie,22,London Bridge,2000
22,Red Hot Chili Peppers,23,Dani California,2000
23,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2000
24,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",2000
25,Rascal Flatts,26,What Hurts The Most,2000
26,The Fray,27,How To Save A Life,2000
27,Rihanna,28,Unfaithful,2000
28,Snow Patrol,29,Chasing Cars,2000
29,Hinder,30,Lips Of An Angel,2000
30,Cascada,31,Everytime We Touch,2000
31,Christina Aguilera,32,Ain't No Other Man,2000
32,Fall Out Boy,33,"Dance, Dance",2000
33,Kanye West Featuring Jamie Foxx,34,Gold Digger,2000
34,Ludacris Featuring Pharrell,35,Money Maker,2000
35,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,2000
36,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,2000
37,Nickelback,38,Photograph,2000
38,Kelly Clarkson,39,Because Of You,2000
39,The Pussycat Dolls,40,Stickwitu,2000
40,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),2000
41,The Black Eyed Peas,42,My Humps,2000
42,Fort Minor Featuring Holly Brook,43,Where'd You Go,2000
43,Chris Brown,44,Yo (Excuse Me Miss),2000
44,Kelly Clarkson,45,Walk Away,2000
45,D4L,46,Laffy Taffy,2000
46,T.I.,47,What You Know,2000
47,The All-American Rejects,48,Dirty Little Secret,2000
48,Nickelback,49,Savin' Me,2000
49,Mariah Carey,50,Don't Forget About Us,2000
50,Ne-Yo,51,Sexy Love,2000
51,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,2000
52,Nickelback,53,Far Away,2000
53,Nick Lachey,54,What's Left Of Me,2000
54,Field Mob Featuring Ciara,55,So What,2000
55,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,2000
56,KT Tunstall,57,Black Horse & The Cherry Tree,2000
57,Juelz Santana,58,There It Go! (The Whistle Song),2000
58,Young Dro Featuring T.I.,59,Shoulder Lean,2000
59,Jamie Foxx Featuring Ludacris,60,Unpredictable,2000
60,Justin Timberlake Featuring T.I.,61,My Love,2000
61,Eminem Featuring Nate Dogg,62,Shake That,2000
62,Chingy Featuring Tyrese,63,Pullin' Me Back,2000
63,Kelis Featuring Too $hort,64,Bossy,2000
64,Jibbs,65,Chain Hang Low,2000
65,Akon Featuring Eminem,66,Smack That,2000
66,Ray J,67,One Wish,2000
67,Fall Out Boy,68,"Sugar, We're Goin' Down",2000
68,Chris Brown Featuring Lil Wayne,69,Gimme That,2000
69,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,2000
70,Bon Jovi,71,Who Says You Can't Go Home,2000
71,JoJo,72,Too Little Too Late,2000
72,Busta Rhymes,73,Touch It,2000
73,Daddy Yankee,74,Rompe,2000
74,Beyonce Featuring Jay Z,75,Deja Vu,2000
75,Rascal Flatts,76,Life Is A Highway,2000
76,Evanescence,77,Call Me When You're Sober,2000
77,Carrie Underwood,78,"Jesus, Take The Wheel",2000
78,Danity Kane,79,Show Stopper,2000
79,Ciara Featuring Chamillionaire,80,Get Up,2000
80,Sean Paul,81,We Be Burnin',2000
81,Blue October,82,Hate Me,2000
82,Lifehouse,83,You And Me,2000
83,The Pussycat Dolls Featuring will.i.am,84,Beep,2000
84,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,2000
85,Chris Brown,86,Say Goodbye,2000
86,John Mayer,87,Waiting On The World To Change,2000
87,Young Jeezy Featuring Akon,88,Soul Survivor,2000
88,The Black Eyed Peas,89,Pump It,2000
89,Eminem,90,When I'm Gone,2000
90,Madonna,91,Hung Up,2000
91,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,2000
92,Keyshia Cole,93,Love,2000
93,Ne-Yo,94,When You're Mad,2000
94,T.I.,95,Why You Wanna,2000
95,P!nk,96,Stupid Girls,2000
96,Gorillaz,97,Feel Good Inc,2000
97,T-Pain,98,I'm Sprung,2000
98,Taylor Hicks,99,Do I Make You Proud,2000
99,Teddy Geiger,100,For You I Will (Confidence),2000
100,Daniel Powter,1,Bad Day,2001
101,Sean Paul,2,Temperature,2001
102,Nelly Furtado Featuring Timbaland,3,Promiscuous,2001
103,James Blunt,4,You're Beautiful,2001
104,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,2001
105,Natasha Bedingfield,6,Unwritten,2001
106,Gnarls Barkley,7,Crazy,2001
107,Chamillionaire Featuring Krayzie Bone,8,Ridin',2001
108,Justin Timberlake,9,SexyBack,2001
109,Beyonce Featuring Slim Thug,10,Check On It,2001
110,Mary J. Blige,11,Be Without You,2001
111,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,2001
112,The Fray,13,Over My Head (Cable Car),2001
113,Cassie,14,Me & U,2001
114,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,2001
115,Chris Brown,16,Run It!,2001
116,Ne-Yo,17,So Sick,2001
117,Yung Joc,18,It's Goin' Down,2001
118,Rihanna,19,SOS,2001
119,Panic! At The Disco,20,I Write Sins Not Tragedies,2001
120,The All-American Rejects,21,Move Along,2001
121,Fergie,22,London Bridge,2001
122,Red Hot Chili Peppers,23,Dani California,2001
123,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2001
124,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",2001
125,Rascal Flatts,26,What Hurts The Most,2001
126,The Fray,27,How To Save A Life,2001
127,Rihanna,28,Unfaithful,2001
128,Snow Patrol,29,Chasing Cars,2001
129,Hinder,30,Lips Of An Angel,2001
130,Cascada,31,Everytime We Touch,2001
131,Christina Aguilera,32,Ain't No Other Man,2001
132,Fall Out Boy,33,"Dance, Dance",2001
133,Kanye West Featuring Jamie Foxx,34,Gold Digger,2001
134,Ludacris Featuring Pharrell,35,Money Maker,2001
135,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,2001
136,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,2001
137,Nickelback,38,Photograph,2001
138,Kelly Clarkson,39,Because Of You,2001
139,The Pussycat Dolls,40,Stickwitu,2001
140,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),2001
141,The Black Eyed Peas,42,My Humps,2001
142,Fort Minor Featuring Holly Brook,43,Where'd You Go,2001
143,Chris Brown,44,Yo (Excuse Me Miss),2001
144,Kelly Clarkson,45,Walk Away,2001
145,D4L,46,Laffy Taffy,2001
146,T.I.,47,What You Know,2001
147,The All-American Rejects,48,Dirty Little Secret,2001
148,Nickelback,49,Savin' Me,2001
149,Mariah Carey,50,Don't Forget About Us,2001
150,Ne-Yo,51,Sexy Love,2001
151,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,2001
152,Nickelback,53,Far Away,2001
153,Nick Lachey,54,What's Left Of Me,2001
154,Field Mob Featuring Ciara,55,So What,2001
155,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,2001
156,KT Tunstall,57,Black Horse & The Cherry Tree,2001
157,Juelz Santana,58,There It Go! (The Whistle Song),2001
158,Young Dro Featuring T.I.,59,Shoulder Lean,2001
159,Jamie Foxx Featuring Ludacris,60,Unpredictable,2001
160,Justin Timberlake Featuring T.I.,61,My Love,2001
161,Eminem Featuring Nate Dogg,62,Shake That,2001
162,Chingy Featuring Tyrese,63,Pullin' Me Back,2001
163,Kelis Featuring Too $hort,64,Bossy,2001
164,Jibbs,65,Chain Hang Low,2001
165,Akon Featuring Eminem,66,Smack That,2001
166,Ray J,67,One Wish,2001
167,Fall Out Boy,68,"Sugar, We're Goin' Down",2001
168,Chris Brown Featuring Lil Wayne,69,Gimme That,2001
169,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,2001
170,Bon Jovi,71,Who Says You Can't Go Home,2001
171,JoJo,72,Too Little Too Late,2001
172,Busta Rhymes,73,Touch It,2001
173,Daddy Yankee,74,Rompe,2001
174,Beyonce Featuring Jay Z,75,Deja Vu,2001
175,Rascal Flatts,76,Life Is A Highway,2001
176,Evanescence,77,Call Me When You're Sober,2001
177,Carrie Underwood,78,"Jesus, Take The Wheel",2001
178,Danity Kane,79,Show Stopper,2001
179,Ciara Featuring Chamillionaire,80,Get Up,2001
180,Sean Paul,81,We Be Burnin',2001
181,Blue October,82,Hate Me,2001
182,Lifehouse,83,You And Me,2001
183,The Pussycat Dolls Featuring will.i.am,84,Beep,2001
184,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,2001
185,Chris Brown,86,Say Goodbye,2001
186,John Mayer,87,Waiting On The World To Change,2001
187,Young Jeezy Featuring Akon,88,Soul Survivor,2001
188,The Black Eyed Peas,89,Pump It,2001
189,Eminem,90,When I'm Gone,2001
190,Madonna,91,Hung Up,2001
191,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,2001
192,Keyshia Cole,93,Love,2001
193,Ne-Yo,94,When You're Mad,2001
194,T.I.,95,Why You Wanna,2001
195,P!nk,96,Stupid Girls,2001
196,Gorillaz,97,Feel Good Inc,2001
197,T-Pain,98,I'm Sprung,2001
198,Taylor Hicks,99,Do I Make You Proud,2001
199,Teddy Geiger,100,For You I Will (Confidence),2001
200,Daniel Powter,1,Bad Day,2002
201,Sean Paul,2,Temperature,2002
