,Artist,Rank,Song Title,Year
202,Nelly Furtado Featuring Timbaland,3,Promiscuous,2002
203,James Blunt,4,You're Beautiful,2002
204,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,2002
205,Natasha Bedingfield,6,Unwritten,2002
206,Gnarls Barkley,7,Crazy,2002
207,Chamillionaire Featuring Krayzie Bone,8,Ridin',2002
208,Justin Timberlake,9,SexyBack,2002
209,Beyonce Featuring Slim Thug,10,Check On It,2002
210,Mary J. Blige,11,Be Without You,2002
211,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,2002
212,The Fray,13,Over My Head (Cable Car),2002
213,Cassie,14,Me & U,2002
214,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,2002
215,Chris Brown,16,Run It!,2002
216,Ne-Yo,17,So Sick,2002
217,Yung Joc,18,It's Goin' Down,2002
218,Rihanna,19,SOS,2002
219,Panic! At The Disco,20,I Write Sins Not Tragedies,2002
220,The All-American Rejects,21,Move Along,2002
221,Fergie,22,London Bridge,2002
222,Red Hot Chili Peppers,23,Dani California,2002
223,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2002
224,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",2002
225,Rascal Flatts,26,What Hurts The Most,2002
226,The Fray,27,How To Save A Life,2002
227,Rihanna,28,Unfaithful,2002
228,Snow Patrol,29,Chasing Cars,2002
229,Hinder,30,Lips Of An Angel,2002
230,Cascada,31,Everytime We Touch,2002
231,Christina Aguilera,32,Ain't No Other Man,2002
232,Fall Out Boy,33,"Dance, Dance",2002
233,Kanye West Featuring Jamie Foxx,34,Gold Digger,2002
234,Ludacris Featuring Pharrell,35,Money Maker,2002
235,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,2002
236,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,2002
237,Nickelback,38,Photograph,2002
238,Kelly Clarkson,39,Because Of You,2002
239,The Pussycat Dolls,40,Stickwitu,2002
240,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),2002
241,The Black Eyed Peas,42,My Humps,2002
242,Fort Minor Featuring Holly Brook,43,Where'd You Go,2002
243,Chris Brown,44,Yo (Excuse Me Miss),2002
244,Kelly Clarkson,45,Walk Away,2002
245,D4L,46,Laffy Taffy,2002
246,T.I.,47,What You Know,2002
247,The All-American Rejects,48,Dirty Little Secret,2002
248,Nickelback,49,Savin' Me,2002
249,Mariah Carey,50,Don't Forget About Us,2002
250,Ne-Yo,51,Sexy Love,2002
251,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,2002
252,Nickelback,53,Far Away,2002
253,Nick Lachey,54,What's Left Of Me,2002
254,Field Mob Featuring Ciara,55,So What,2002
255,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,2002
256,KT Tunstall,57,Black Horse & The Cherry Tree,2002
257,Juelz Santana,58,There It Go! (The Whistle Song),2002
258,Young Dro Featuring T.I.,59,Shoulder Lean,2002
259,Jamie Foxx Featuring Ludacris,60,Unpredictable,2002
260,Justin Timberlake Featuring T.I.,61,My Love,2002
261,Eminem Featuring Nate Dogg,62,Shake That,2002
262,Chingy Featuring Tyrese,63,Pullin' Me Back,2002
263,Kelis Featuring Too $hort,64,Bossy,2002
264,Jibbs,65,Chain Hang Low,2002
265,Akon Featuring Eminem,66,Smack That,2002
266,Ray J,67,One Wish,2002
267,Fall Out Boy,68,"Sugar, We're Goin' Down",2002
268,Chris Brown Featuring Lil Wayne,69,Gimme That,2002
269,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,2002
270,Bon Jovi,71,Who Says You Can't Go Home,2002
271,JoJo,72,Too Little Too Late,2002
272,Busta Rhymes,73,Touch It,2002
273,Daddy Yankee,74,Rompe,2002
274,Beyonce Featuring Jay Z,75,Deja Vu,2002
275,Rascal Flatts,76,Life Is A Highway,2002
276,Evanescence,77,Call Me When You're Sober,2002
277,Carrie Underwood,78,"Jesus, Take The Wheel",2002
278,Danity Kane,79,Show Stopper,2002
279,Ciara Featuring Chamillionaire,80,Get Up,2002
280,Sean Paul,81,We Be Burnin',2002
281,Blue October,82,Hate Me,2002
282,Lifehouse,83,You And Me,2002
283,The Pussycat Dolls Featuring will.i.am,84,Beep,2002
284,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,2002
285,Chris Brown,86,Say Goodbye,2002
286,John Mayer,87,Waiting On The World To Change,2002
287,Young Jeezy Featuring Akon,88,Soul Survivor,2002
288,The Black Eyed Peas,89,Pump It,2002
289,Eminem,90,When I'm Gone,2002
290,Madonna,91,Hung Up,2002
291,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,2002
292,Keyshia Cole,93,Love,2002
293,Ne-Yo,94,When You're Mad,2002
294,T.I.,95,Why You Wanna,2002
295,P!nk,96,Stupid Girls,2002
296,Gorillaz,97,Feel Good Inc,2002
297,T-Pain,98,I'm Sprung,2002
298,Taylor Hicks,99,Do I Make You Proud,2002
299,Teddy Geiger,100,For You I Will (Confidence),2002
300,Daniel Powter,1,Bad Day,2003
301,Sean Paul,2,Temperature,2003
302,Nelly Furtado Featuring Timbaland,3,Promiscuous,2003
303,James Blunt,4,You're Beautiful,2003
304,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,2003
305,Natasha Bedingfield,6,Unwritten,2003
306,Gnarls Barkley,7,Crazy,2003
307,Chamillionaire Featuring Krayzie Bone,8,Ridin',2003
308,Justin Timberlake,9,SexyBack,2003
309,Beyonce Featuring Slim Thug,10,Check On It,2003
310,Mary J. Blige,11,Be Without You,2003
311,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,2003
312,The Fray,13,Over My Head (Cable Car),2003
313,Cassie,14,Me & U,2003
314,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,2003
315,Chris Brown,16,Run It!,2003
316,Ne-Yo,17,So Sick,2003
317,Yung Joc,18,It's Goin' Down,2003
318,Rihanna,19,SOS,2003
319,Panic! At The Disco,20,I Write Sins Not Tragedies,2003
320,The All-American Rejects,21,Move Along,2003
321,Fergie,22,London Bridge,2003
322,Red Hot Chili Peppers,23,Dani California,2003
323,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2003
324,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",2003
325,Rascal Flatts,26,What Hurts The Most,2003
326,The Fray,27,How To Save A Life,2003
327,Rihanna,28,Unfaithful,2003
328,Snow Patrol,29,Chasing Cars,2003
329,Hinder,30,Lips Of An Angel,2003
330,Cascada,31,Everytime We Touch,2003
331,Christina Aguilera,32,Ain't No Other Man,2003
332,Fall Out Boy,33,"Dance, Dance",2003
333,Kanye West Featuring Jamie Foxx,34,Gold Digger,2003
334,Ludacris Featuring Pharrell,35,Money Maker,2003
335,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,2003
336,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,2003
337,Nickelback,38,Photograph,2003
338,Kelly Clarkson,39,Because Of You,2003
339,The Pussycat Dolls,40,Stickwitu,2003
340,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),2003
341,The Black Eyed Peas,42,My Humps,2003
342,Fort Minor Featuring Holly Brook,43,Where'd You Go,2003
343,Chris Brown,44,Yo (Excuse Me Miss),2003
344,Kelly Clarkson,45,Walk Away,2003
345,D4L,46,Laffy Taffy,2003
346,T.I.,47,What You Know,2003
347,The All-American Rejects,48,Dirty Little Secret,2003
348,Nickelback,49,Savin' Me,2003
349,Mariah Carey,50,Don't Forget About Us,2003
350,Ne-Yo,51,Sexy Love,2003
351,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,2003
352,Nickelback,53,Far Away,2003
353,Nick Lachey,54,What's Left Of Me,2003
354,Field Mob Featuring Ciara,55,So What,2003
355,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,2003
356,KT Tunstall,57,Black Horse & The Cherry Tree,2003
357,Juelz Santana,58,There It Go! (The Whistle Song),2003
358,Young Dro Featuring T.I.,59,Shoulder Lean,2003
359,Jamie Foxx Featuring Ludacris,60,Unpredictable,2003
360,Justin Timberlake Featuring T.I.,61,My Love,2003
361,Eminem Featuring Nate Dogg,62,Shake That,2003
362,Chingy Featuring Tyrese,63,Pullin' Me Back,2003
363,Kelis Featuring Too $hort,64,Bossy,2003
364,Jibbs,65,Chain Hang Low,2003
365,Akon Featuring Eminem,66,Smack That,2003
366,Ray J,67,One Wish,2003
367,Fall Out Boy,68,"Sugar, We're Goin' Down",2003
368,Chris Brown Featuring Lil Wayne,69,Gimme That,2003
369,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,2003
370,Bon Jovi,71,Who Says You Can't Go Home,2003
371,JoJo,72,Too Little Too Late,2003
372,Busta Rhymes,73,Touch It,2003
373,Daddy Yankee,74,Rompe,2003
374,Beyonce Featuring Jay Z,75,Deja Vu,2003
375,Rascal Flatts,76,Life Is A Highway,2003
376,Evanescence,77,Call Me When You're Sober,2003
377,Carrie Underwood,78,"Jesus, Take The Wheel",2003
378,Danity Kane,79,Show Stopper,2003
379,Ciara Featuring Chamillionaire,80,Get Up,2003
380,Sean Paul,81,We Be Burnin',2003
381,Blue October,82,Hate Me,2003
382,Lifehouse,83,You And Me,2003
383,The Pussycat Dolls Featuring will.i.am,84,Beep,2003
384,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,2003
385,Chris Brown,86,Say Goodbye,2003
386,John Mayer,87,Waiting On The World To Change,2003
387,Young Jeezy Featuring Akon,88,Soul Survivor,2003
388,The Black Eyed Peas,89,Pump It,2003
389,Eminem,90,When I'm Gone,2003
390,Madonna,91,Hung Up,2003
391,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,2003
392,Keyshia Cole,93,Love,2003
393,Ne-Yo,94,When You're Mad,2003
394,T.I.,95,Why You Wanna,2003
395,P!nk,96,Stupid Girls,2003
396,Gorillaz,97,Feel Good Inc,2003
397,T-Pain,98,I'm Sprung,2003
398,Taylor Hicks,99,Do I Make You Proud,2003
399,Teddy Geiger,100,For You I Will (Confidence),2003
400,Daniel Powter,1,Bad Day,2004
401,Sean Paul,2,Temperature,2004
402,Nelly Furtado Featuring Timbaland,3,Promiscuous,2004
403,James Blunt,4,You're Beautiful,2004
404,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,2004
405,Natasha Bedingfield,6,Unwritten,2004
406,Gnarls Barkley,7,Crazy,2004
407,Chamillionaire Featuring Krayzie Bone,8,Ridin',2004
408,Justin Timberlake,9,SexyBack,2004
409,Beyonce Featuring Slim Thug,10,Check On It,2004
410,Mary J. Blige,11,Be Without You,2004
411,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,2004
412,The Fray,13,Over My Head (Cable Car),2004
413,Cassie,14,Me & U,2004
414,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,2004
415,Chris Brown,16,Run It!,2004
416,Ne-Yo,17,So Sick,2004
417,Yung Joc,18,It's Goin' Down,2004
418,Rihanna,19,SOS,2004
419,Panic! At The Disco,20,I Write Sins Not Tragedies,2004
420,The All-American Rejects,21,Move Along,2004
421,Fergie,22,London Bridge,2004
422,Red Hot Chili Peppers,23,Dani California,2004
423,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2004
424,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",2004
425,Rascal Flatts,26,What Hurts The Most,2004
426,The Fray,27,How To Save A Life,2004
427,Rihanna,28,Unfaithful,2004
428,Snow Patrol,29,Chasing Cars,2004
429,Hinder,30,Lips Of An Angel,2004
430,Cascada,31,Everytime We Touch,2004
431,Christina Aguilera,32,Ain't No Other Man,2004
432,Fall Out Boy,33,"Dance, Dance",2004
433,Kanye West Featuring Jamie Foxx,34,Gold Digger,2004
434,Ludacris Featuring Pharrell,35,Money Maker,2004
435,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,2004
436,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,2004
437,Nickelback,38,Photograph,2004
438,Kelly Clarkson,39,Because Of You,2004
439,The Pussycat Dolls,40,Stickwitu,2004
440,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),2004
441,The Black Eyed Peas,42,My Humps,2004
442,Fort Minor Featuring Holly Brook,43,Where'd You Go,2004
443,Chris Brown,44,Yo (Excuse Me Miss),2004
444,Kelly Clarkson,45,Walk Away,2004
445,D4L,46,Laffy Taffy,2004
446,T.I.,47,What You Know,2004
447,The All-American Rejects,48,Dirty Little Secret,2004
448,Nickelback,49,Savin' Me,2004
449,Mariah Carey,50,Don't Forget About Us,2004
450,Ne-Yo,51,Sexy Love,2004
451,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,2004
452,Nickelback,53,Far Away,2004
453,Nick Lachey,54,What's Left Of Me,2004
454,Field Mob Featuring Ciara,55,So What,2004
455,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,2004
456,KT Tunstall,57,Black Horse & The Cherry Tree,2004
457,Juelz Santana,58,There It Go! (The Whistle Song),2004
458,Young Dro Featuring T.I.,59,Shoulder Lean,2004
459,Jamie Foxx Featuring Ludacris,60,Unpredictable,2004
460,Justin Timberlake Featuring T.I.,61,My Love,2004
461,Eminem Featuring Nate Dogg,62,Shake That,2004
462,Chingy Featuring Tyrese,63,Pullin' Me Back,2004
463,Kelis Featuring Too $hort,64,Bossy,2004
464,Jibbs,65,Chain Hang Low,2004
465,Akon Featuring Eminem,66,Smack That,2004
466,Ray J,67,One Wish,2004
467,Fall Out Boy,68,"Sugar, We're Goin' Down",2004
468,Chris Brown Featuring Lil Wayne,69,Gimme That,2004
469,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,2004
470,Bon Jovi,71,Who Says You Can't Go Home,2004
471,JoJo,72,Too Little Too Late,2004
472,Busta Rhymes,73,Touch It,2004
473,Daddy Yankee,74,Rompe,2004
474,Beyonce Featuring Jay Z,75,Deja Vu,2004
475,Rascal Flatts,76,Life Is A Highway,2004
476,Evanescence,77,Call Me When You're Sober,2004
477,Carrie Underwood,78,"Jesus, Take The Wheel",2004
478,Danity Kane,79,Show Stopper,2004
479,Ciara Featuring Chamillionaire,80,Get Up,2004
480,Sean Paul,81,We Be Burnin',2004
481,Blue October,82,Hate Me,2004
482,Lifehouse,83,You And Me,2004
483,The Pussycat Dolls Featuring will.i.am,84,Beep,2004
484,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,2004
485,Chris Brown,86,Say Goodbye,2004
486,John Mayer,87,Waiting On The World To Change,2004
487,Young Jeezy Featuring Akon,88,Soul Survivor,2004
488,The Black Eyed Peas,89,Pump It,2004
489,Eminem,90,When I'm Gone,2004
490,Madonna,91,Hung Up,2004
491,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,2004
492,Keyshia Cole,93,Love,2004
493,Ne-Yo,94,When You're Mad,2004
494,T.I.,95,Why You Wanna,2004
495,P!nk,96,Stupid Girls,2004
496,Gorillaz,97,Feel Good Inc,2004
497,T-Pain,98,I'm Sprung,2004
498,Taylor Hicks,99,Do I Make You Proud,2004
499,Teddy Geiger,100,For You I Will (Confidence),2004
500,Daniel Powter,1,Bad Day,2005
501,Sean Paul,2,Temperature,2005
502,Nelly Furtado Featuring Timbaland,3,Promiscuous,2005
503,James Blunt,4,You're Beautiful,2005
504,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,2005
505,Natasha Bedingfield,6,Unwritten,2005
506,Gnarls Barkley,7,Crazy,2005
507,Chamillionaire Featuring Krayzie Bone,8,Ridin',2005
508,Justin Timberlake,9,SexyBack,2005
509,Beyonce Featuring Slim Thug,10,Check On It,2005
510,Mary J. Blige,11,Be Without You,2005
511,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,2005
512,The Fray,13,Over My Head (Cable Car),2005
513,Cassie,14,Me & U,2005
514,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,2005
515,Chris Brown,16,Run It!,2005
516,Ne-Yo,17,So Sick,2005
517,Yung Joc,18,It's Goin' Down,2005
518,Rihanna,19,SOS,2005
519,Panic! At The Disco,20,I Write Sins Not Tragedies,2005
520,The All-American Rejects,21,Move Along,2005
521,Fergie,22,London Bridge,2005
522,Red Hot Chili Peppers,23,Dani California,2005
523,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,2005
524,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",2005
525,Rascal Flatts,26,What Hurts The Most,2005
526,The Fray,27,How To Save A Life,2005
527,Rihanna,28,Unfaithful,2005
528,Snow Patrol,29,Chasing Cars,2005
529,Hinder,30,Lips Of An Angel,2005
