,Artist,Rank,Song Title,Year
138,Queen,65,Another One Bites The Dust,1981
139,The Alan Parsons Project,66,Games People Play,1981
140,Steve Winwood,68,While You See A Chance,1981
141,Stevie Wonder,69,Master Blaster,1981
142,Neil Diamond,70,Hello Again,1981
143,The Police,71,Don't Stand So Close To Me,1981
144,Steely Dan,72,Hey Nineteen,1981
145,Stevie Wonder,73,I Ain't Gonna Stand For It,1981
146,George Harrison,74,All Those Years Ago,1981
147,Eddie Rabbitt,75,Step By Step,1981
148,Billy Squier,76,THE STROKE,1981
149,Alabama,77,Feels So Right,1981
150,Dan Fogelberg,79,Same Old Lang Syne,1981
151,Pablo Cruise,80,Cool Love,1981
152,Electric Light Orchestra,81,Hold On Tight,1981
153,John Schneider,82,It's Now Or Never,1981
154,Pat Benatar,83,Treat Me Right,1981
155,Santana,84,Winning,1981
156,Barbra Streisand & Barry Gibb,85,What Kind Of Fool,1981
157,John Lennon,86,WATCHING THE WHEELS,1981
158,Heart,87,Tell It Like It Is,1981
159,Ronnie Milsap,88,Smokey Mountain Rain,1981
160,Barry Manilow,89,I Made It Through The Rain,1981
161,Olivia Newton-John And Cliff Richard,91,Suddenly,1981
162,Sheena Easton,92,For Your Eyes Only,1981
163,The Beach Boys,93,The Beach Boys Medley,1981
164,Devo,94,Whip It,1981
165,Sheena Easton,95,Modern Girl,1981
166,Gary Wright,96,Really Wanna Know You,1981
167,Rosanne Cash,97,Seven Year Ache,1981
168,Diana Ross,98,I'm Coming Out,1981
169,Boz Scaggs,99,Miss Sun,1981
170,Andy Gibb,100,Time Is Time,1981
171,Olivia Newton-John,1,Physical,1982
172,Joan Jett & the Blackhearts,3,I Love Rock 'N' Roll,1982
173,The Human League,6,Don't You Want Me,1982
174,John Cougar,8,Hurts So Good,1982
175,The Steve Miller Band,9,Abracadabra,1982
176,Chicago,10,Hard To Say I'm Sorry,1982
177,Soft Cell,11,Tainted Love,1982
178,Vangelis,12,Chariots Of Fire,1982
179,Quarterflash,13,Harden My Heart,1982
180,Toto,14,Rosanna,1982
181,Tommy Tutone,16,867-5309/jenny,1982
182,Bertie Higgins,17,Key Largo,1982
183,Melissa Manchester,18,You Should Hear How She Talks About You,1982
184,Foreigner,19,Waiting For A Girl Like You,1982
185,Rick Springfield,20,Don't Talk To Strangers,1982
186,Juice Newton,21,The Sweetest Thing,1982
187,Willie Nelson,22,Always On My Mind,1982
188,The Cars,23,Shake It Up,1982
189,Dazz Band,24,Let It Whip,1982
190,Go-Go's,25,We Got The Beat,1982
191,Ray Parker Jr.,26,The Other Woman,1982
192,George Benson,27,Turn Your Love Around,1982
193,Air Supply,28,Sweet Dreams,1982
194,The Motels,29,Only The Lonely,1982
195,Fleetwood Mac,31,Hold Me,1982
196,The Alan Parsons Project,32,Eye In The Sky,1982
197,"Earth, Wind & Fire",33,Let's Groove,1982
198,Journey,34,Open Arms,1982
199,Dan Fogelberg,35,Leader Of The Band,1982
200,Stevie Nicks With Don Henley,36,Leather And Lace,1982
201,Air Supply,37,Even The Nights Are Better,1982
202,Charlene,38,I've Never Been To Me,1982
203,Paul Davis,39,65 Love Affair,1982
204,Asia,40,Heat Of The Moment,1982
205,Little River Band,41,Take It Easy On Me,1982
206,Buckner & Garcia,42,Pac-Man Fever,1982
207,Stevie Wonder,43,That Girl,1982
208,Lindsey Buckingham,45,Trouble,1982
209,Roberta Flack,46,Making Love,1982
210,Juice Newton,47,Love's Been A Little Bit Hard On Me,1982
211,Rod Stewart,48,Young Turks,1982
212,The J. Geils Band,49,Freeze-frame,1982
213,REO Speedwagon,50,Keep The Fire Burnin',1982
214,Huey Lewis & The News,51,Do You Believe In Love,1982
215,Paul Davis,52,Cool Night,1982
216,Diana Ross,54,Why Do Fools Fall In Love,1982
217,Alabama,55,Love In The First Degree,1982
218,Royal Philharmonic Orchestra Conducted By Louis Clark,56,Hooked On Classics,1982
219,"Crosby, Stills & Nash",57,Wasted On The Way,1982
220,Eddie Money,58,Think I'm In Love,1982
221,Donna Summer,59,Love Is In Control (Finger On The Trigger),1982
222,Karla Bonoff,60,Personally,1982
223,Quincy Jones Featuring James Ingram,61,ONE HUNDRED WAYS,1982
224,Elton John,62,Blue Eyes,1982
225,Go-Go's,63,Our Lips Are Sealed,1982
226,Sheena Easton,64,You Could Have Been With Me,1982
227,America,65,You Can Do Magic,1982
228,A Flock Of Seagulls,67,I Ran,1982
229,Jackson Browne,68,Somebody's Baby,1982
230,Commodores,69,Oh No,1982
231,Paul McCartney,70,Take It Away,1982
232,Deniece Williams,71,It's Gonna Take A Miracle,1982
233,Kenny Rogers,72,Love Will Turn You Around,1982
234,Journey,73,Don't Stop Believin',1982
235,Barbra Streisand,74,Comin' In And Out Of Your Life,1982
236,Laura Branigan,75,Gloria,1982
237,Elton John,76,Empty Garden,1982
238,Neil Diamond,77,Yesterday's Songs,1982
239,Joan Jett & the Blackhearts,78,Crimson And Clover,1982
240,The Police,79,Every Little Thing She Does Is Magic,1982
241,Air Supply,80,Here I Am,1982
242,Michael McDonald,81,I Keep Forgettin' (every Time You're Near),1982
243,Kool & The Gang,82,Get Down On It,1982
244,Ronnie Milsap,83,Any Day Now,1982
245,Olivia Newton-John,84,Make A Move On Me,1982
246,Kool & The Gang,85,Take My Heart,1982
247,Diana Ross,86,Mirror Mirror,1982
248,Go-Go's,87,Vacation,1982
249,Van Halen,88,Oh Pretty Woman,1982
250,The Pointer Sisters,89,Should I Do It,1982
251,Billy Idol,90,Hot In The City,1982
252,Kim Wilde,91,Kids In America,1982
253,Little River Band,92,Man On Your Mind,1982
254,Michael Murphey,93,What's Forever For,1982
255,The Rolling Stones,94,WAITING ON A FRIEND,1982
256,Stevie Wonder,95,Do I Do,1982
257,Loverboy,96,Working For The Weekend,1982
258,Greg Guidry,97,Goin' Down,1982
259,Christopher Cross,98,Arthur's Theme,1982
260,Kenny Rogers,99,Through The Years,1982
261,The Police,1,Every Breath You Take,1983
262,Michael Jackson,2,Billie Jean,1983
263,Men At Work,4,Down Under,1983
264,Michael Jackson,5,Beat It,1983
