,Artist,Rank,Song Title,Year
595,Paul McCartney,92,Spies Like Us,1986
596,Starpoint,93,Object Of My Desire,1986
597,Daryl Hall,94,Dreamtime,1986
598,Force M.D.'s,95,Tender Love,1986
599,Thompson Twins,96,King For A Day,1986
600,Lionel Richie,97,Love Will Conquer All,1986
601,George Michael,98,A Different Corner,1986
602,Toto,99,I'll Be Over You,1986
603,Stevie Wonder,100,Go Home,1986
604,Heart,2,ALONE,1987
605,Gregory Abbott,3,Shake You Down,1987
606,Whitney Houston,4,I Wanna Dance With Somebody (Who Loves Me),1987
607,Starship,5,Nothing's Gonna Stop Us Now,1987
608,Robbie Nevil,6,C'est La Vie,1987
609,Whitesnake,7,Here I Go Again,1987
610,Bruce Hornsby & The Range,8,The Way It Is,1987
611,Bon Jovi,10,Livin' On A Prayer,1987
612,Los Lobos,11,La Bamba,1987
613,Wang Chung,12,Everybody Have Fun Tonight,1987
614,Crowded House,13,Don't Dream It's Over,1987
615,Atlantic Starr,14,Always,1987
616,Jody Watley,16,Looking For A New Love,1987
617,Tiffany,18,I Think We're Alone Now,1987
618,Billy Idol,19,Mony Mony,1987
619,Billy Vera & The Beaters,20,At This Moment,1987
620,Chris de Burgh,21,The Lady In Red,1987
621,Whitney Houston,22,Didn't We Almost Have It All,1987
622,U2,23,I Still Haven't Found What I'm Looking For,1987
623,Duran Duran,25,Notorious,1987
624,Debbie Gibson,26,Only In My Dreams,1987
625,Bill Medley & Jennifer Warnes,27,(I've Had) The Time Of My Life,1987
626,Peter Cetera With Amy Grant,28,The Next Time I Fall,1987
627,Club Nouveau,29,Lean On Me,1987
628,Madonna,30,Open Your Heart,1987
629,Cutting Crew,32,(I Just) Died In Your Arms,1987
630,T'Pau,33,Heart And Soul,1987
631,Kim Wilde,34,You Keep Me Hangin' On,1987
632,The Georgia Satellites,35,Keep Your Hands To Yourself,1987
633,Aretha Franklin & George Michael,36,I Knew You Were Waiting (For Me),1987
634,Janet Jackson,37,Control,1987
635,Prince,38,U Got The Look,1987
636,Genesis,40,Land Of Confusion,1987
637,Huey Lewis & The News,41,Jacob's Ladder,1987
638,Madonna,42,Who's That Girl,1987
639,The Jets,43,You Got It All,1987
640,Samantha Fox,44,Touch Me (I Want Your Body),1987
641,Michael Jackson With Siedah Garrett,45,I Just Can't Stop Loving You,1987
642,Madonna,46,Causing A Commotion,1987
643,Genesis,47,In Too Deep,1987
644,Janet Jackson,48,Let's Wait Awhile,1987
645,Huey Lewis & The News,49,Hip To Be Square,1987
646,Chicago,50,Will You Still Love Me?,1987
647,Fleetwood Mac,51,Little Lies,1987
648,Suzanne Vega,52,LUKA,1987
649,Richard Marx,54,Don't Mean Nothing,1987
650,Kenny G,55,Songbird,1987
651,Europe,56,Carrie,1987
652,The System,57,Don't Disturb This Groove,1987
653,Madonna,58,La Isla Bonita,1987
654,Michael Jackson,59,Bad,1987
655,Prince,60,Sign 'O' The Times,1987
656,Cyndi Lauper,61,Change Of Heart,1987
657,Expose,62,Come Go With Me,1987
658,Dan Hill (Duet With Vonda Shepard),63,Can't We Try,1987
659,Billy Idol,64,To Be A Lover,1987
660,Bruce Hornsby & The Range,65,Mandolin Rain,1987
661,Swing Out Sister,66,Breakout,1987
662,Ben E. King,67,Stand By Me,1987
663,Genesis,68,"Tonight, Tonight, Tonight",1987
664,Glass Tiger,69,Someday,1987
665,ABC,70,When Smokey Sings,1987
666,Levert,71,Casanova,1987
667,Gloria Estefan & Miami Sound Machine,72,Rhythm Is Gonna Get You,1987
668,The Whispers,73,Rock Steady,1987
669,Bon Jovi,74,Wanted Dead Or Alive,1987
670,Peter Gabriel,75,Big Time,1987
671,Steve Winwood,76,The Finer Things,1987
672,Expose,77,Let Me Be The One,1987
673,Survivor,78,Is This Love,1987
674,Herb Alpert,79,Diamonds,1987
675,Expose,80,Point Of No Return,1987
676,Fleetwood Mac,81,Big Love,1987
677,Lou Gramm,82,Midnight Blue,1987
678,Crowded House,83,Something So Strong,1987
679,Bryan Adams,84,Heat Of The Night,1987
680,Glenn Medeiros,85,Nothing's Gonna Change My Love For You,1987
681,Bruce Springsteen,86,Brilliant Disguise,1987
682,Smokey Robinson,87,Just To See Her,1987
683,Heart,88,Who Will You Run To,1987
684,Bruce Willis,89,Respect Yourself,1987
685,Kool & The Gang,91,Victory,1987
686,Huey Lewis & The News,93,Doing It All For My Baby,1987
687,The Breakfast Club,94,Right On Track,1987
688,Lionel Richie,95,Ballerina Girl,1987
689,Kenny Loggins,96,Meet Me Half Way,1987
690,Cutting Crew,97,I've Been In Love Before,1987
691,Beastie Boys,98,(You Gotta) Fight For Your Right (To Party!),1987
692,Pseudo Echo,99,Funkytown,1987
693,Ready For The World,100,Love You Down,1987
694,George Michael,1,Faith,1988
695,INXS,2,Need You Tonight,1988
696,George Harrison,3,Got My Mind Set On You,1988
697,Rick Astley,4,Never Gonna Give You Up,1988
698,Guns N' Roses,5,Sweet Child O' Mine,1988
699,Whitney Houston,6,So Emotional,1988
700,Belinda Carlisle,7,Heaven Is A Place On Earth,1988
701,Tiffany,8,Could've Been,1988
702,Breathe,9,Hands To Heaven,1988
703,Steve Winwood,10,Roll With It,1988
704,George Michael,11,One More Try,1988
705,Terence Trent D'Arby,12,Wishing Well,1988
706,Gloria Estefan & Miami Sound Machine,13,Anything For You/No Te Olvidare,1988
707,Cheap Trick,14,The Flame,1988
708,Billy Ocean,15,"Get Outta My Dreams, Get Into My Car",1988
709,Expose,16,Seasons Change,1988
710,Whitesnake,17,Is This Love,1988
711,The Escape Club,18,"Wild, Wild West",1988
712,Def Leppard,19,Pour Some Sugar On Me,1988
713,Taylor Dayne,20,I'll Always Love You,1988
714,Michael Jackson,21,Man In The Mirror,1988
715,Debbie Gibson,22,Shake Your Love,1988
716,Richard Marx,24,Hold On To The Nights,1988
717,Johnny Hates Jazz,26,Shattered Dreams,1988
718,George Michael,27,Father Figure,1988
719,Samantha Fox,28,Naughty Girls (Need Love Too),1988
720,Phil Collins,29,Groovy Kind Of Love,1988
721,Def Leppard,30,Love Bites,1988
722,Richard Marx,31,Endless Summer Nights,1988
723,Debbie Gibson,32,Foolish Beat,1988
724,Whitney Houston,33,Where Do Broken Hearts Go,1988
725,Aerosmith,34,Angel,1988
726,Michael Jackson,36,The Way You Make Me Feel,1988
727,Eric Carmen,38,Make Me Lose Control,1988
728,UB40,39,Red Red Wine,1988
729,Bon Jovi,41,Bad Medicine,1988
730,Elton John,43,I Don't Wanna Go On With You Like That,1988
731,Rick Astley,44,Together Forever,1988
732,George Michael,45,Monkey,1988
733,INXS,46,Devil Inside,1988
734,Richard Marx,47,Should've Known Better,1988
735,Chicago,48,I Don't Wanna Live Without Your Love,1988
736,Kylie Minogue,49,The Loco-Motion,1988
737,Pet Shop Boys & Dusty Springfield,50,What Have I Done To Deserve This?,1988
738,The Jets,51,Make It Real,1988
739,Information Society,52,What's On Your Mind (Pure Energy),1988
740,Taylor Dayne,53,Tell It To My Heart,1988
741,Debbie Gibson,54,Out Of The Blue,1988
742,Jody Watley,55,Don't You Want Me,1988
743,U2,56,Desire,1988
744,Belinda Carlisle,57,I Get Weak,1988
745,Terence Trent D'Arby,58,Sign Your Name,1988
746,Roger,59,I Want To Be Your Man,1988
747,Pebbles,60,Girlfriend,1988
748,Michael Jackson,61,Dirty Diana,1988
749,Pebbles,63,Mercedes Boy,1988
750,Huey Lewis & The News,64,Perfect World,1988
751,INXS,65,New Sensation,1988
752,Pretty Poison,66,Catch Me (I'm Falling),1988
753,New Edition,67,If It Isn't Love,1988
754,The Jets,68,Rocket 2 U,1988
755,Peter Cetera,69,One Good Woman,1988
756,Cheap Trick,70,Don't Be Cruel,1988
757,Elton John,71,CANDLE IN THE WIND,1988
758,Foreigner,73,Say You Will,1988
759,Keith Sweat,74,I Want Her,1988
760,Natalie Cole,75,Pink Cadillac,1988
761,Tracy Chapman,76,Fast Car,1988
762,Icehouse,77,Electric Blue,1988
763,Bruce Hornsby & The Range,78,The Valley Road,1988
764,Bobby Brown,79,Don't Be Cruel,1988
765,Brenda Russell Featuring Joe Esposito,81,Piano In The Dark,1988
766,Van Halen,82,When It's Love,1988
767,Paul Carrack,83,Don't Shed A Tear,1988
768,Sting,84,We'll Be Together,1988
769,Joan Jett & the Blackhearts,85,I Hate Myself For Loving You,1988
770,Foreigner,86,I Don't Want To Live Without You,1988
771,Al B. Sure!,87,Nite And Day,1988
772,Steve Winwood,88,Don't You Know What The Night Can Do?,1988
773,Whitney Houston,89,One Moment In Time,1988
774,Gloria Estefan & Miami Sound Machine,90,Can't Stay Away From You,1988
775,George Michael,91,Kissing A Fool,1988
776,Brenda K. Starr,93,I STILL BELIEVE,1988
777,Cher,94,I Found Someone,1988
778,INXS,95,Never Tear Us Apart,1988
779,Steve Winwood,96,Valerie,1988
780,David Lee Roth,97,Just Like Paradise,1988
781,Poison,98,Nothin' But A Good Time,1988
782,White Lion,99,Wait,1988
783,Taylor Dayne,100,Prove Your Love,1988
784,Chicago,1,Look Away,1989
785,Bobby Brown,2,My Prerogative,1989
786,Poison,3,Every Rose Has Its Thorn,1989
787,Paula Abdul,4,Straight Up,1989
788,Janet Jackson,5,Miss You Much,1989
789,Paula Abdul,6,Cold Hearted,1989
790,Will To Power,9,"Baby, I Love Your Way/Freebird Medley",1989
791,Anita Baker,10,GIVING YOU THE BEST THAT I GOT,1989
792,Richard Marx,11,Right Here Waiting,1989
793,Boy Meets Girl,12,Waiting For A Star To Fall,1989
794,Debbie Gibson,13,Lost In Your Eyes,1989
795,Gloria Estefan,14,Don't Wanna Lose You,1989
796,Warrant,15,Heaven,1989
797,Milli Vanilli,16,Girl I'm Gonna Miss You,1989
798,Roxette,17,The Look,1989
799,Phil Collins,20,Two Hearts,1989
800,Milli Vanilli,21,Blame It On The Rain,1989
801,Roxette,22,Listen To Your Heart,1989
802,Bon Jovi,23,I'll Be There For You,1989
803,Simply Red,24,If You Don't Know Me By Now,1989
804,Madonna,25,Like A Prayer,1989
805,New Kids On The Block,26,I'll Be Loving You (Forever),1989
806,Breathe,27,How Can I Fall?,1989
807,Milli Vanilli,28,Baby Don't Forget My Number,1989
808,Martika,29,Toy Soldiers,1989
809,Paula Abdul,30,Forever Your Girl,1989
810,Mike + The Mechanics,31,The Living Years,1989
811,Tone-Loc,33,Wild Thing,1989
812,Bad English,34,When I See You Smile,1989
813,Cher,35,If I Could Turn Back Time,1989
814,Neneh Cherry,36,Buffalo Stance,1989
815,Sheriff,37,When I'm With You,1989
816,Taylor Dayne,38,Don't Rush Me,1989
817,Bon Jovi,39,Born To Be My Baby,1989
818,Fine Young Cannibals,40,Good Thing,1989
819,Sheena Easton,41,The Lover In Me,1989
820,Young M.C.,42,Bust A Move,1989
821,Jody Watley,46,Real Love,1989
822,Bobby Brown,48,Every Little Step,1989
823,New Kids On The Block,49,Hangin' Tough,1989
824,Rod Stewart,50,My Heart Can't Tell You No,1989
825,New Kids On The Block,52,You Got It (The Right Stuff),1989
826,Def Leppard,53,Armageddon It,1989
827,Richard Marx,54,Satisfied,1989
828,Madonna,55,Express Yourself,1989
829,Dino,56,I Like It,1989
830,Donny Osmond,57,Soldier Of Love,1989
831,Tears For Fears,58,Sowing The Seeds Of Love,1989
832,Madonna,59,Cherish,1989
833,White Lion,60,When The Children Cry,1989
834,Skid Row,61,18 And Life,1989
835,Duran Duran,62,I Don't Want Your Love,1989
836,Thirty Eight Special,63,SECOND CHANCE,1989
837,Karyn White,64,The Way You Love Me,1989
838,Tone-Loc,65,Funky Cold Medina,1989
839,Natalie Cole,67,Miss You Like Crazy,1989
840,The Cure,68,Love Song,1989
841,Karyn White,69,Secret Rendezvous,1989
842,The Jeff Healey Band,70,Angel Eyes,1989
843,Guns N' Roses,71,Patience,1989
844,Eddie Money,72,Walk On Water,1989
845,New Kids On The Block,73,Cover Girl,1989
846,Guns N' Roses,74,Welcome To The Jungle,1989
847,Surface,75,Shower Me With Your Love,1989
848,R.E.M.,76,Stand,1989
849,Lita Ford (Duet With Ozzy Osbourne),77,Close My Eyes Forever,1989
850,Tiffany,78,All This Time,1989
851,Bobby Brown,80,Roni,1989
852,Aerosmith,81,Love In An Elevator,1989
853,Bon Jovi,82,Lay Your Hands On Me,1989
854,When In Rome,83,The Promise,1989
855,Edie Brickell & New Bohemians,84,What I Am,1989
856,Boys Club,85,I Remember Holding You,1989
857,Guns N' Roses,86,Paradise City,1989
858,Samantha Fox,87,I Wanna Have Some Fun,1989
859,Rick Astley,88,She Wants To Dance With Me,1989
860,Vanessa Williams,89,Dreamin',1989
861,Babyface,90,It's No Crime,1989
862,Alice Cooper,91,Poison,1989
863,Donna Summer,92,THIS TIME I KNOW IT's FOR REAL,1989
864,Michael Jackson,93,Smooth Criminal,1989
865,Bobby Brown,95,Rock Wit'cha,1989
866,Expose,97,What You Don't Know,1989
867,Don Henley,99,The End Of The Innocence,1989
868,Soul II Soul (Featuring Caron Wheeler),100,Keep On Movin',1989
869,Wilson Phillips,1,Hold On,1990
870,Sinead O'Connor,3,Nothing Compares 2 U,1990
871,Bell Biv DeVoe,4,Poison,1990
872,Madonna,5,Vogue,1990
873,Mariah Carey,6,Vision Of Love,1990
874,Phil Collins,7,Another Day In Paradise,1990
875,En Vogue,8,Hold On,1990
876,Bell Biv DeVoe,11,Do Me!,1990
877,Michael Bolton,12,How Am I Supposed To Live Without You,1990
878,Paula Abdul,14,Opposites Attract,1990
879,Janet Jackson,15,Escapade,1990
880,Heart,16,All I Wanna Do Is Make Love To You,1990
881,Maxi Priest,17,Close To You,1990
882,Alannah Myles,18,Black Velvet,1990
883,Wilson Phillips,19,Release Me,1990
884,Linda Ronstadt (Featuring Aaron Neville),20,Don't Know Much,1990
885,Lisa Stansfield,21,All Around The World,1990
886,Calloway,22,I Wanna Be Rich,1990
887,Johnny Gill,23,Rub You The Right Way,1990
888,Glenn Medeiros Featuring Bobby Brown,24,She Ain't Worth It,1990
889,Sweet Sensation,25,If Wishes Came True,1990
890,Nelson,27,(Can't Live Without Your) Love And Affection,1990
891,Taylor Dayne,28,Love Will Lead You Back,1990
892,Jane Child,29,Don't Wanna Fall In Love,1990
893,Seduction,30,Two To Make It Right,1990
894,Linear,31,Sending All My Love,1990
895,Poison,32,Unskinny Bop,1990
896,New Kids On The Block,33,Step By Step,1990
897,Roxette,34,Dangerous,1990
898,Billy Joel,35,We Didn't Start The Fire,1990
899,James Ingram,36,I Don't Have The Heart,1990
900,Rod Stewart,37,Downtown Train,1990
901,Janet Jackson,38,Rhythm Nation,1990
902,Tommy Page,39,I'll Be Your Everything,1990
903,Jody Watley,41,Everything,1990
904,Soul II Soul,42,Back To Life,1990
905,Luther Vandross,43,Here And Now,1990
906,Janet Jackson,44,Alright,1990
907,Vanilla Ice,45,Ice Ice Baby,1990
908,Milli Vanilli,46,Blame It On The Rain,1990
909,M.C. Hammer,47,Have You Seen Her,1990
910,Taylor Dayne,48,With Every Beat Of My Heart,1990
911,Janet Jackson,49,Come Back To Me,1990
912,Michel'le,50,No More Lies,1990
913,George Michael,51,Praying For Time,1990
914,Michael Bolton,52,How Can We Be Lovers,1990
915,Phil Collins,53,Do You Remember?,1990
916,After 7,54,Ready Or Not,1990
917,M.C. Hammer,55,U Can't Touch This,1990
918,Phil Collins,56,I Wish It Would Rain Down,1990
919,Lou Gramm,57,Just Between You And Me,1990
920,Phil Collins,58,Something Happened On The Way To Heaven,1990
921,Janet Jackson,59,Black Cat,1990
922,After 7,60,Can't Stop,1990
923,Aerosmith,61,Janie's Got A Gun,1990
924,Digital Underground,62,The Humpty Dance,1990
925,Taylor Dayne,63,I'll Be Your Shelter,1990
926,Tom Petty,64,Free Fallin',1990
927,Pebbles,65,Giving You The Benefit,1990
928,Depeche Mode,66,Enjoy The Silence,1990
929,Tesla,67,Love Song,1990
930,Bad English,68,Price Of Love,1990
931,Tyler Collins,69,Girls Nite Out,1990
932,Chicago,71,What Kind Of Man Would I Be?,1990
933,Skid Row,72,I Remember You,1990
934,Technotronic,73,Get Up! (Before The Night Is Over),1990
935,Gloria Estefan,74,Here We Are,1990
936,Faith No More,75,Epic,1990
937,Mariah Carey,76,Love Takes Time,1990
938,Cher,77,Just Like Jesse James,1990
939,Milli Vanilli,79,All Or Nothing,1990
940,Dino,80,Romeo,1990
941,Black Box,81,Everybody Everybody,1990
942,Billy Joel,82,I Go To Extremes,1990
943,Babyface,83,Whip Appeal,1990
944,Paul Young,84,Oh Girl,1990
945,Paula Abdul,86,(It's Just) The Way That You Love Me,1990
946,The Cover Girls,87,We Can't Go Wrong,1990
947,Michael Bolton,88,When I'm Back On My Feet Again,1990
948,Keith Sweat,89,Make You Sweat,1990
949,New Kids On The Block,90,This One's For The Children,1990
950,Aerosmith,91,What It Takes,1990
951,KISS,92,Forever,1990
952,The Time,93,Jerk Out,1990
953,Biz Markie,94,Just A Friend,1990
954,Motley Crue,96,Without You,1990
955,Jive Bunny & The Mastermixers,97,Swing The Mood,1990
956,Prince,98,Thieves In The Temple,1990
957,Mellow Man Ace,99,Mentirosa,1990
958,Kyper,100,Tic-Tac-Toe,1990
959,Daniel Powter,1,Bad Day,1991
960,Sean Paul,2,Temperature,1991
961,Nelly Furtado Featuring Timbaland,3,Promiscuous,1991
962,James Blunt,4,You're Beautiful,1991
963,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,1991
964,Natasha Bedingfield,6,Unwritten,1991
965,Gnarls Barkley,7,Crazy,1991
966,Chamillionaire Featuring Krayzie Bone,8,Ridin',1991
967,Justin Timberlake,9,SexyBack,1991
968,Beyonce Featuring Slim Thug,10,Check On It,1991
969,Mary J. Blige,11,Be Without You,1991
970,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,1991
971,The Fray,13,Over My Head (Cable Car),1991
972,Cassie,14,Me & U,1991
973,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,1991
974,Chris Brown,16,Run It!,1991
975,Ne-Yo,17,So Sick,1991
976,Yung Joc,18,It's Goin' Down,1991
977,Rihanna,19,SOS,1991
978,Panic! At The Disco,20,I Write Sins Not Tragedies,1991
979,The All-American Rejects,21,Move Along,1991
980,Fergie,22,London Bridge,1991
981,Red Hot Chili Peppers,23,Dani California,1991
982,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,1991
983,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",1991
984,Rascal Flatts,26,What Hurts The Most,1991
985,The Fray,27,How To Save A Life,1991
986,Rihanna,28,Unfaithful,1991
987,Snow Patrol,29,Chasing Cars,1991
988,Hinder,30,Lips Of An Angel,1991
989,Cascada,31,Everytime We Touch,1991
990,Christina Aguilera,32,Ain't No Other Man,1991
991,Fall Out Boy,33,"Dance, Dance",1991
992,Kanye West Featuring Jamie Foxx,34,Gold Digger,1991
993,Ludacris Featuring Pharrell,35,Money Maker,1991
994,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,1991
995,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,1991
996,Nickelback,38,Photograph,1991
997,Kelly Clarkson,39,Because Of You,1991
998,The Pussycat Dolls,40,Stickwitu,1991
999,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),1991
1000,The Black Eyed Peas,42,My Humps,1991
1001,Fort Minor Featuring Holly Brook,43,Where'd You Go,1991
1002,Chris Brown,44,Yo (Excuse Me Miss),1991
1003,Kelly Clarkson,45,Walk Away,1991
1004,D4L,46,Laffy Taffy,1991
1005,T.I.,47,What You Know,1991
1006,The All-American Rejects,48,Dirty Little Secret,1991
1007,Nickelback,49,Savin' Me,1991
1008,Mariah Carey,50,Don't Forget About Us,1991
1009,Ne-Yo,51,Sexy Love,1991
1010,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,1991
1011,Nickelback,53,Far Away,1991
1012,Nick Lachey,54,What's Left Of Me,1991
1013,Field Mob Featuring Ciara,55,So What,1991
1014,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,1991
1015,KT Tunstall,57,Black Horse & The Cherry Tree,1991
1016,Juelz Santana,58,There It Go! (The Whistle Song),1991
1017,Young Dro Featuring T.I.,59,Shoulder Lean,1991
1018,Jamie Foxx Featuring Ludacris,60,Unpredictable,1991
1019,Justin Timberlake Featuring T.I.,61,My Love,1991
1020,Eminem Featuring Nate Dogg,62,Shake That,1991
1021,Chingy Featuring Tyrese,63,Pullin' Me Back,1991
1022,Kelis Featuring Too $hort,64,Bossy,1991
1023,Jibbs,65,Chain Hang Low,1991
1024,Akon Featuring Eminem,66,Smack That,1991
1025,Ray J,67,One Wish,1991
1026,Fall Out Boy,68,"Sugar, We're Goin' Down",1991
1027,Chris Brown Featuring Lil Wayne,69,Gimme That,1991
1028,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,1991
1029,Bon Jovi,71,Who Says You Can't Go Home,1991
1030,JoJo,72,Too Little Too Late,1991
1031,Busta Rhymes,73,Touch It,1991
1032,Daddy Yankee,74,Rompe,1991
1033,Beyonce Featuring Jay Z,75,Deja Vu,1991
1034,Rascal Flatts,76,Life Is A Highway,1991
1035,Evanescence,77,Call Me When You're Sober,1991
1036,Carrie Underwood,78,"Jesus, Take The Wheel",1991
1037,Danity Kane,79,Show Stopper,1991
1038,Ciara Featuring Chamillionaire,80,Get Up,1991
1039,Sean Paul,81,We Be Burnin',1991
1040,Blue October,82,Hate Me,1991
1041,Lifehouse,83,You And Me,1991
1042,The Pussycat Dolls Featuring will.i.am,84,Beep,1991
1043,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,1991
1044,Chris Brown,86,Say Goodbye,1991
1045,John Mayer,87,Waiting On The World To Change,1991
1046,Young Jeezy Featuring Akon,88,Soul Survivor,1991
1047,The Black Eyed Peas,89,Pump It,1991
1048,Eminem,90,When I'm Gone,1991
1049,Madonna,91,Hung Up,1991
1050,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,1991
1051,Keyshia Cole,93,Love,1991
1052,Ne-Yo,94,When You're Mad,1991
1053,T.I.,95,Why You Wanna,1991
1054,P!nk,96,Stupid Girls,1991
1055,Gorillaz,97,Feel Good Inc,1991
1056,T-Pain,98,I'm Sprung,1991
1057,Taylor Hicks,99,Do I Make You Proud,1991
1058,Teddy Geiger,100,For You I Will (Confidence),1991
1059,Daniel Powter,1,Bad Day,1992
1060,Sean Paul,2,Temperature,1992
1061,Nelly Furtado Featuring Timbaland,3,Promiscuous,1992
1062,James Blunt,4,You're Beautiful,1992
1063,Shakira Featuring Wyclef Jean,5,Hips Don't Lie,1992
1064,Natasha Bedingfield,6,Unwritten,1992
1065,Gnarls Barkley,7,Crazy,1992
1066,Chamillionaire Featuring Krayzie Bone,8,Ridin',1992
1067,Justin Timberlake,9,SexyBack,1992
1068,Beyonce Featuring Slim Thug,10,Check On It,1992
1069,Mary J. Blige,11,Be Without You,1992
1070,"Nelly Featuring Paul Wall, Ali & Gipp",12,Grillz,1992
1071,The Fray,13,Over My Head (Cable Car),1992
1072,Cassie,14,Me & U,1992
1073,The Pussycat Dolls Featuring Snoop Dogg,15,Buttons,1992
1074,Chris Brown,16,Run It!,1992
1075,Ne-Yo,17,So Sick,1992
1076,Yung Joc,18,It's Goin' Down,1992
1077,Rihanna,19,SOS,1992
1078,Panic! At The Disco,20,I Write Sins Not Tragedies,1992
1079,The All-American Rejects,21,Move Along,1992
1080,Fergie,22,London Bridge,1992
1081,Red Hot Chili Peppers,23,Dani California,1992
1082,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,Snap Yo Fingers,1992
1083,Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,"Lean Wit It, Rock Wit It",1992
1084,Rascal Flatts,26,What Hurts The Most,1992
1085,The Fray,27,How To Save A Life,1992
1086,Rihanna,28,Unfaithful,1992
1087,Snow Patrol,29,Chasing Cars,1992
1088,Hinder,30,Lips Of An Angel,1992
1089,Cascada,31,Everytime We Touch,1992
1090,Christina Aguilera,32,Ain't No Other Man,1992
1091,Fall Out Boy,33,"Dance, Dance",1992
1092,Kanye West Featuring Jamie Foxx,34,Gold Digger,1992
1093,Ludacris Featuring Pharrell,35,Money Maker,1992
1094,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,Ms. New Booty,1992
1095,Sean Paul Featuring Keyshia Cole,37,(When You Gonna) Give It Up To Me,1992
1096,Nickelback,38,Photograph,1992
1097,Kelly Clarkson,39,Because Of You,1992
1098,The Pussycat Dolls,40,Stickwitu,1992
1099,T-Pain Featuring Mike Jones,41,I'm N Luv (Wit A Stripper),1992
1100,The Black Eyed Peas,42,My Humps,1992
1101,Fort Minor Featuring Holly Brook,43,Where'd You Go,1992
1102,Chris Brown,44,Yo (Excuse Me Miss),1992
1103,Kelly Clarkson,45,Walk Away,1992
1104,D4L,46,Laffy Taffy,1992
1105,T.I.,47,What You Know,1992
1106,The All-American Rejects,48,Dirty Little Secret,1992
1107,Nickelback,49,Savin' Me,1992
1108,Mariah Carey,50,Don't Forget About Us,1992
1109,Ne-Yo,51,Sexy Love,1992
1110,E-40 Featuring T-Pain & Kandi Girl,52,U And Dat,1992
1111,Nickelback,53,Far Away,1992
1112,Nick Lachey,54,What's Left Of Me,1992
1113,Field Mob Featuring Ciara,55,So What,1992
1114,Cherish Featuring Sean Paul Of The YoungBloodZ,56,Do It To It,1992
1115,KT Tunstall,57,Black Horse & The Cherry Tree,1992
1116,Juelz Santana,58,There It Go! (The Whistle Song),1992
1117,Young Dro Featuring T.I.,59,Shoulder Lean,1992
1118,Jamie Foxx Featuring Ludacris,60,Unpredictable,1992
1119,Justin Timberlake Featuring T.I.,61,My Love,1992
1120,Eminem Featuring Nate Dogg,62,Shake That,1992
1121,Chingy Featuring Tyrese,63,Pullin' Me Back,1992
1122,Kelis Featuring Too $hort,64,Bossy,1992
1123,Jibbs,65,Chain Hang Low,1992
1124,Akon Featuring Eminem,66,Smack That,1992
1125,Ray J,67,One Wish,1992
1126,Fall Out Boy,68,"Sugar, We're Goin' Down",1992
1127,Chris Brown Featuring Lil Wayne,69,Gimme That,1992
1128,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,I Know You See It,1992
1129,Bon Jovi,71,Who Says You Can't Go Home,1992
1130,JoJo,72,Too Little Too Late,1992
1131,Busta Rhymes,73,Touch It,1992
1132,Daddy Yankee,74,Rompe,1992
1133,Beyonce Featuring Jay Z,75,Deja Vu,1992
1134,Rascal Flatts,76,Life Is A Highway,1992
1135,Evanescence,77,Call Me When You're Sober,1992
1136,Carrie Underwood,78,"Jesus, Take The Wheel",1992
1137,Danity Kane,79,Show Stopper,1992
1138,Ciara Featuring Chamillionaire,80,Get Up,1992
1139,Sean Paul,81,We Be Burnin',1992
1140,Blue October,82,Hate Me,1992
1141,Lifehouse,83,You And Me,1992
1142,The Pussycat Dolls Featuring will.i.am,84,Beep,1992
1143,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,I Think They Like Me,1992
1144,Chris Brown,86,Say Goodbye,1992
1145,John Mayer,87,Waiting On The World To Change,1992
1146,Young Jeezy Featuring Akon,88,Soul Survivor,1992
1147,The Black Eyed Peas,89,Pump It,1992
1148,Eminem,90,When I'm Gone,1992
1149,Madonna,91,Hung Up,1992
1150,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,Stay Fly,1992
1151,Keyshia Cole,93,Love,1992
1152,Ne-Yo,94,When You're Mad,1992
1153,T.I.,95,Why You Wanna,1992
1154,P!nk,96,Stupid Girls,1992
1155,Gorillaz,97,Feel Good Inc,1992
1156,T-Pain,98,I'm Sprung,1992
